ID,Posted at,Screen name,Text
825420690681634816,2017-01-28 19:10:02 +0000,SFBARTalert,BART recovering: 10 min delay at CIVC in SFO and East Bay dirs due to police activity.
825420189072314368,2017-01-28 19:08:03 +0000,SFBARTalert,10 min delay at CIVC in SFO and East Bay dirs due to police activity.
825250569065529344,2017-01-28 07:54:02 +0000,SFBARTalert,BART recovering: major delay at SF stns in East Bay dir due to police activity.
825248088554139648,2017-01-28 07:44:11 +0000,SFBARTalert,20 min delay at SF stns in East Bay dir due to police activity.
825190927543177217,2017-01-28 03:57:03 +0000,SFBARTalert,"BART recovering: 10 min delay on DALY line in SFO, MLBR, DALY and East Bay dirs due to police activity at MONT."
825189166518501377,2017-01-28 03:50:03 +0000,SFBARTalert,Trains are not stopping at MONT stn due to police activity.
825188663357218816,2017-01-28 03:48:03 +0000,SFBARTalert,"10 min delay at MONT on DALY line in SFO, MLBR, DALY and East Bay dirs due to police activity."
824849995018809344,2017-01-27 05:22:18 +0000,SFBARTalert,10 min delay at SFO in PITT and MLBR dirs due to equip prob.
824831624756002816,2017-01-27 04:09:18 +0000,SFBARTalert,20 min delay at 12TH in FRMT and SF dirs due to equip prob.
824690949863444482,2017-01-26 18:50:19 +0000,SFBARTalert,"BART recovering: 10 min delay between COLM and MLBR in PITT, RICH, SFO and MLBR dirs due to earlier power issues."
